team,roster_position,broad_group,group_source,bio_group,unit,depth,player,class,is_transfer,redshirt,projected_slot,conference,eligibility,is_starter,key,match_group,player_id,match_type,prev_team,transferred_before,war_2014,war_2015,war_2016,war_2017,war_2018,war_2019,war_2021,war_2022,war_2023,war_2024,war_2025,snaps_2014,snaps_2015,snaps_2016,snaps_2017,snaps_2018,snaps_2019,snaps_2021,snaps_2022,snaps_2023,snaps_2024,snaps_2025,prior_seasons,has_history,pinned_starter,available,war_lag1,war_lag2,war_lag3,snaps_lag1,snaps_lag2,rate_lag1,share_lag1,class_num,class_source,prior_rank,group_code,team_massey,stars,rating,target_season,group,kal_m,kal_sd,proj_war,imputed
Wyoming,RCB,CB,label,CB,DEF,1,Logan Mackey,JR,0,True,2.0,Mountain West,JR,True,logan mackey,CB,,unmatched,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,True,,,,,,,0.0,3.0,current depth chart,4.0,0,-0.0409229831851302,,,2026,CB,,,0.006922746173950422,True
Wyoming,LCB,CB,label,CB,DEF,1,Ian Bell,SR,0,False,1.0,Mountain West,SR,True,ian bell,CB,174807,name+team,Wyoming,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0726232374322128,0.0641513985064456,0.0305697873249802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,217.0,79.0,3,True,False,True,0.0305697873249802,0.0641513985064456,0.0726232374322128,79.0,217.0,0.00038695933322759746,0.034022394487510765,4.0,current depth chart,2.0,0,-0.0409229831851302,3.0,0.8094,2026,CB,0.032265978118005384,0.12955121776343556,0.06110327118712426,False
Air Force,LG,IOL,label,,OFF,1,TJ Tarascio,SR,0,False,2.0,Mountain West,SR,True,tj tarascio,OL,186448,name+team,Air Force,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002320753196939,0.0457436842224851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,273.0,2,True,False,True,0.0457436842224851,0.002320753196939,,273.0,34.0,0.0001675592828662458,0.10915633746501399,4.0,current depth chart,2.0,3,-0.0314145531874091,,,2026,IOL,0.016433140278016786,0.0695223845474525,0.06086015919132701,False
Air Force,C,IOL,label,,OFF,1,Rudy Varela,SR,0,False,3.0,Mountain West,SR,True,rudy varela,OL,,unmatched,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,True,,,,,,,0.0,4.0,current depth chart,4.0,3,-0.0314145531874091,,,2026,IOL,,,0.010393338759827954,True
Air Force,WR-Z,WR,label,WR,OFF,1,Matt Long,JR,0,False,2.0,Mountain West,JR,True,matt long,WR,198041,name+team,Air Force,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009692868006689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0,1,True,False,True,0.009692868006689,,,199.0,,4.870787943059799e-05,0.18703047333184322,3.0,current depth chart,1.0,10,-0.0314145531874091,3.0,0.81,2026,WR,0.0065187587215297296,0.1268825672319351,0.04364962962994026,False
Air Force,WR-X,WR,label,WR,OFF,1,Jonah Dawson,JR,0,False,1.0,Mountain West,JR,True,jonah dawson,WR,204591,name+team,Air Force,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0191708351415485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,1,True,False,True,0.0191708351415485,,,66.0,,0.0002904671991143712,0.06203020723568669,3.0,current depth chart,2.0,10,-0.0314145531874091,3.0,0.84,2026,WR,0.06787520946465438,0.12688256723193542,0.06853321023625689,False
Air Force,WR-SL,WR,label,WR,OFF,1,Astin Hange,JR,0,False,10.0,Mountain West,JR,True,astin hange,WR,,unmatched,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,True,,,,,,,0.0,3.0,current depth chart,4.0,10,-0.0314145531874091,3.0,0.8,2026,WR,,,0.008128088752792447,True
James Madison,WR-SL,WR,label,WR,OFF,1,Braeden Wisloski,SR,0,False,3.0,Sun Belt,SR,True,braeden wisloski,WR,170213,name+team,James Madison,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059456964843819,0.0157392057478278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,275.0,2,True,False,True,0.0157392057478278,0.0059456964843819,,275.0,46.0,5.723347544664654e-05,0.16457211250748055,4.0,current depth chart,1.0,10,0.0311635711261598,3.0,0.8608,2026,WR,-0.022566647283110454,0.12574348816635905,0.06498839899027753,False
James Madison,WR-Z,WR,label,WR,OFF,1,Corey Scott,JR,0,True,2.0,Sun Belt,JR,True,corey scott,WR,,unmatched,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,True,,,,,,,0.0,3.0,current depth chart,4.0,10,0.0311635711261598,,,2026,WR,,,0.0074807614438109765,True
James Madison,WR-X,WR,label,WR,OFF,1,Jeremiah Harrison,SO,0,False,1.0,Sun Belt,SO,True,jeremiah harrison,WR,,unmatched,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,True,,,,,,,0.0,2.0,current depth chart,5.0,10,0.0311635711261598,,,2026,WR,,,0.003604348767121773,True
